id,name,information,difficulty,affectedMuscles
0;”Flexiones inchworm”;”Las flexiones inchworm o de gusano son un ejercicio donde, usando el peso corporal, imitaremos el movimiento de pliegue de un gusano”;”EXERCISE_DIFFICULTY_HALF”;”MUSCLE_CHEST”
1;”Uppercut o ganchos de boxeo”;”El uppercut o gancho es una técnica de boxeo que consiste en dar un golpe cruzado.  De manera semejante, este ejercicio plantea dar un paso al frente, en tanto se da un golpe de gancho hacia arriba.”;”EXERCISE_DIFFICULTY_LOW”;”MUSCLE_BICEPS”,”MUSCLE_QUADRICEPS”
2;”Puñetazos”;”El punch o puñetazo es un ejercicio de boxeo similar al uppercut”;”EXERCISE_DIFFICULTY_LOW”;”MUSCLE_BICEPS”
3;”Plank Jacks”;”Las planchas Jack son un tipo de plancha que mezcla flexiones y elevaciones”;”MUSCLE_CHEST”,”MUSCLE_QUADRICEPS”,”MUSCLE_BACK”
4;”Patadas de glúteo”;”Este ejercicio de elevación es el antagonistas de las elevaciones de rodilla altas comentadas anteriormente. Para realizarlo, simula correr mientras permaneces en el mismo sitio, elevando los talones lo más cerca que puedas de los glúteos. Asegúrate de que la fuerza de la elevación provenga de los tendones de tu pierna; de otra forma, es muy probable que acabes elevándote por dar patadas al piso con los pies, lo cual es dañino y no te permite centrar la fuerza en elevar correctamente tu peso corporal”;”EXERCISE_DIFFICULTY_LOW”;”MUSCLE_QUADRICEPS”,”MUSCLE_BACK”,”MUSCLE_ABDOMINALS”
5;”Salto vertical”;”El objetivo de este ejercicio es simple de asimilar: debes saltar lo más alto que puedas, elevando de manera equilibrada el peso de tu cuerpo. Párate manteniendo una ligera inclinación en la posición de tu espalda, y los pies y las rodillas abiertos según el ancho de tus caderas. Lleva los brazos a lo alto, y luego lánzalos hacia la parte de atrás de tu cuerpo, de manera que te ayuden a elevarte en tanto doblas un poco más la espalda. Aterriza del modo más ligero que te sea posible.”;”EXERCISE_DIFFICULTY_LOW”;”MUSCLE_QUADRICEPS”,
6;”Skaters”;”Los skaters son un un ejercicio de cardio que imita el movimiento del patinaje para ayudarte a balancear el peso de tu cuerpo.”;”EXERCISE_DIFFICULTY_HARD”;”MUSCLE_QUADRICEPS”,”MUSCLE_BACK”
7;”Flexiones de tríceps”;”Las flexiones de tríceps, son un gran ejercicio que únicamente necesita para su realización una silla y que nos ayudarán a  potenciar y tonificar los brazos. Realizados con una correcta técnica y siendo rigurosos durante el entrenamiento, conseguiremos grandes resultados.”;”EXERCISE_DIFFICULTY_HALF”;”MUSCLE_TRICEPS”,”MUSCLE_CHEST”
8;”Burpee”;”Un maravilloso ejercicio combinado que es realmente letal aplicado con la intensidad adecuada. El burpee es que es un ejercicio difícil para todo el cuerpo, el cual trabaja la parte superior e inferior al mismo tiempo.”;”EXERCISE_DIFFICULTY_HARD”;”MUSCLE_QUADRICEPS”,”MUSCLE_BACK”,”MUSCLE_CHEST”,”MUSCLE_TRICEPS”,”MUSCLE_ABDOMINALS”
9;”Mountain climber”;”Otro gran ejercicio para trabajar el abdomen, junto al crunch.  El mountain climber combina la dificultad de tener que estar estabilizados continuamente mezclado con la congestión y dureza que sometemos al recto abdominal y a los abdominales oblicuos durante su realización.”;”EXERCISE_DIFFICULTY_HALF”;”MUSCLE_QUADRICEPS”,”MUSCLE_BACK”,”MUSCLE_ABDOMINALS”
